location_name,location_url,search_rank,search_term,location_found
QT Motorbikes and Tours,https://www.tripadvisor.com/Attraction_Review-g1544599-d10795043-Reviews-QT_Motorbikes_and_Tours-Ha_Giang_Ha_Giang_Province.html,1,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Dong Van Karst Plateau Geopark,https://www.tripadvisor.com/Attraction_Review-g1544599-d4108068-Reviews-Dong_Van_Karst_Plateau_Geopark-Ha_Giang_Ha_Giang_Province.html,2,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Thon Tha Village,https://www.tripadvisor.com/Attraction_Review-g1544599-d8291670-Reviews-Thon_Tha_Village-Ha_Giang_Ha_Giang_Province.html,3,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Lung Cu Flag Tower,https://www.tripadvisor.com/Attraction_Review-g1544599-d6932298-Reviews-Lung_Cu_Flag_Tower-Ha_Giang_Ha_Giang_Province.html,4,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Ma Pi Leng Pass,https://www.tripadvisor.com/Attraction_Review-g1544599-d11019378-Reviews-Ma_Pi_Leng_Pass-Ha_Giang_Ha_Giang_Province.html,5,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
DV Tours Daily Trekking Tours,https://www.tripadvisor.com/Attraction_Review-g1544599-d10438757-Reviews-DV_Tours_Daily_Trekking_Tours-Ha_Giang_Ha_Giang_Province.html,6,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Ma Pi Leng Pass,https://www.tripadvisor.com/Attraction_Review-g1544599-d11046531-Reviews-Ma_Pi_Leng_Pass-Ha_Giang_Ha_Giang_Province.html,7,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Ha Giang Trekking - Day Tours,https://www.tripadvisor.com/Attraction_Review-g1544599-d4153662-Reviews-Ha_Giang_Trekking_Day_Tours-Ha_Giang_Ha_Giang_Province.html,8,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Trekking in Vietnam Hung Cuong Travel,https://www.tripadvisor.com/Attraction_Review-g1544599-d10815165-Reviews-Trekking_in_Vietnam_Hung_Cuong_Travel-Ha_Giang_Ha_Giang_Province.html,9,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Ha Giang Tours - Day Tours,https://www.tripadvisor.com/Attraction_Review-g1544599-d7984512-Reviews-Ha_Giang_Tours_Day_Tours-Ha_Giang_Ha_Giang_Province.html,10,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Ha Giang Trekking Tours,https://www.tripadvisor.com/Attraction_Review-g1544599-d8382217-Reviews-Ha_Giang_Trekking_Tours-Ha_Giang_Ha_Giang_Province.html,11,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Truly Ha Giang,https://www.tripadvisor.com/Attraction_Review-g1544599-d11888966-Reviews-Truly_Ha_Giang-Ha_Giang_Ha_Giang_Province.html,12,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Chu Chu House,https://www.tripadvisor.com/Attraction_Review-g1544599-d12140404-Reviews-Chu_Chu_House-Ha_Giang_Ha_Giang_Province.html,13,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Bay Motel & Motorbike for Rent,https://www.tripadvisor.com/Attraction_Review-g1544599-d10813475-Reviews-Bay_Motel_Motorbike_for_Rent-Ha_Giang_Ha_Giang_Province.html,14,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Cooperation Hop Tien,https://www.tripadvisor.com/Attraction_Review-g1544599-d8291174-Reviews-Cooperation_Hop_Tien-Ha_Giang_Ha_Giang_Province.html,15,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Dong Van Tour,https://www.tripadvisor.com/Attraction_Review-g1544599-d12335161-Reviews-Dong_Van_Tour-Ha_Giang_Ha_Giang_Province.html,16,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Ha Giang Travels,https://www.tripadvisor.com/Attraction_Review-g1544599-d12365438-Reviews-Ha_Giang_Travels-Ha_Giang_Ha_Giang_Province.html,17,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Truly Ha Giang,https://www.tripadvisor.com/Attraction_Review-g1544599-d12125150-Reviews-Truly_Ha_Giang-Ha_Giang_Ha_Giang_Province.html,18,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
Truly Ha Giang,https://www.tripadvisor.com/Attraction_Review-g1544599-d12035434-Reviews-Truly_Ha_Giang-Ha_Giang_Ha_Giang_Province.html,19,"Ha Noi, Viet Nam","Ha Giang, Vietnam"
