location_name,location_url,search_rank,search_term,location_found
City Tours (66),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t224-Hue_Thua_Thien_Hue_Province.html,1,"Hue, Vietnam","Hue, Vietnam"
Sightseeing Tours (56),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t139-Hue_Thua_Thien_Hue_Province.html,2,"Hue, Vietnam","Hue, Vietnam"
Private Tours (47),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t235-Hue_Thua_Thien_Hue_Province.html,3,"Hue, Vietnam","Hue, Vietnam"
Tomb of Minh Mang,https://www.tripadvisor.com/Attraction_Review-g293926-d451127-Reviews-Tomb_of_Minh_Mang-Hue_Thua_Thien_Hue_Province.html,4,"Hue, Vietnam","Hue, Vietnam"
Hue Imperial City (The Citadel),https://www.tripadvisor.com/Attraction_Review-g293926-d317599-Reviews-Hue_Imperial_City_The_Citadel-Hue_Thua_Thien_Hue_Province.html,5,"Hue, Vietnam","Hue, Vietnam"
Royal Tombs,https://www.tripadvisor.com/Attraction_Review-g293926-d555721-Reviews-Royal_Tombs-Hue_Thua_Thien_Hue_Province.html,6,"Hue, Vietnam","Hue, Vietnam"
Thien Mu Pagoda,https://www.tripadvisor.com/Attraction_Review-g293926-d451126-Reviews-Thien_Mu_Pagoda-Hue_Thua_Thien_Hue_Province.html,7,"Hue, Vietnam","Hue, Vietnam"
Imperial Tomb of Dong Khanh,https://www.tripadvisor.com/Attraction_Review-g293926-d8546743-Reviews-Imperial_Tomb_of_Dong_Khanh-Hue_Thua_Thien_Hue_Province.html,8,"Hue, Vietnam","Hue, Vietnam"
Tomb of Tu Duc,https://www.tripadvisor.com/Attraction_Review-g293926-d451128-Reviews-Tomb_of_Tu_Duc-Hue_Thua_Thien_Hue_Province.html,9,"Hue, Vietnam","Hue, Vietnam"
Motorcycle Tours (32),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t231-Hue_Thua_Thien_Hue_Province.html,10,"Hue, Vietnam","Hue, Vietnam"
Hue Royal Palace,https://www.tripadvisor.com/Attraction_Review-g293926-d451120-Reviews-Hue_Royal_Palace-Hue_Thua_Thien_Hue_Province.html,11,"Hue, Vietnam","Hue, Vietnam"
Thanh Toan Bridge,https://www.tripadvisor.com/Attraction_Review-g293926-d3741185-Reviews-Thanh_Toan_Bridge-Hue_Thua_Thien_Hue_Province.html,12,"Hue, Vietnam","Hue, Vietnam"
Bach Ma National Park,https://www.tripadvisor.com/Attraction_Review-g293926-d562580-Reviews-Bach_Ma_National_Park-Hue_Thua_Thien_Hue_Province.html,13,"Hue, Vietnam","Hue, Vietnam"
Tu Dam Pagoda,https://www.tripadvisor.com/Attraction_Review-g293926-d4333898-Reviews-Tu_Dam_Pagoda-Hue_Thua_Thien_Hue_Province.html,14,"Hue, Vietnam","Hue, Vietnam"
Historical & Heritage Tours (22),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t228-Hue_Thua_Thien_Hue_Province.html,15,"Hue, Vietnam","Hue, Vietnam"
Perfume River,https://www.tripadvisor.com/Attraction_Review-g293926-d456107-Reviews-Perfume_River-Hue_Thua_Thien_Hue_Province.html,16,"Hue, Vietnam","Hue, Vietnam"
Truong Tien Bridge,https://www.tripadvisor.com/Attraction_Review-g293926-d600750-Reviews-Truong_Tien_Bridge-Hue_Thua_Thien_Hue_Province.html,17,"Hue, Vietnam","Hue, Vietnam"
The Noon Gate (Cua Ngo Mon),https://www.tripadvisor.com/Attraction_Review-g293926-d451125-Reviews-The_Noon_Gate_Cua_Ngo_Mon-Hue_Thua_Thien_Hue_Province.html,18,"Hue, Vietnam","Hue, Vietnam"
Spas (19),https://www.tripadvisor.com/Attractions-g293926-Activities-c40-t127-Hue_Thua_Thien_Hue_Province.html,19,"Hue, Vietnam","Hue, Vietnam"
Cultural Tours (22),https://www.tripadvisor.com/Attractions-g293926-Activities-c42-t225-Hue_Thua_Thien_Hue_Province.html,20,"Hue, Vietnam","Hue, Vietnam"
